fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
14,Sogn og Fjordane,5.6,2008,106259,0.12757507,0.1474981,0.11188699,0.11971692,0.13763539,0.13090655,0.099022202,0.06869065,0.046913672,0.010154434,39.183949,0.24457514,0.53535813,0.20133427,0.048419945,0,1
14,Sogn og Fjordane,5.7,2009,106457,0.12588181,0.14676349,0.11243977,0.11772829,0.13759546,0.13127366,0.10278329,0.068205945,0.046788845,0.010539467,39.356934,0.25518909,0.53424436,0.20672804,0.05091342,0,5
14,Sogn og Fjordane,5.1,2010,107080,0.12376728,0.14543332,0.11483938,0.1152316,0.13745798,0.13251774,0.10566866,0.068173327,0.046329848,0.010580874,39.518677,0.25905544,0.53297472,0.20828836,0.053439032,0,9
14,Sogn og Fjordane,5.4,2011,107742,0.1226634,0.14357446,0.11780921,0.11239813,0.13681759,0.13320711,0.10863916,0.068005048,0.045497578,0.011388317,39.647259,0.26212195,0.53183985,0.20916076,0.05290857,0,13
14,Sogn og Fjordane,5.2,2012,108201,0.12192124,0.14158835,0.11874197,0.11123742,0.1367455,0.1333629,0.11214314,0.06756869,0.044962615,0.011728172,39.78611,0.27848479,0.53638601,0.21342942,0.054526281,0,17
14,Sogn og Fjordane,5.5,2013,108700,0.12159154,0.13896964,0.12020239,0.10990801,0.13712971,0.13313708,0.11482061,0.068058878,0.044517018,0.011665134,39.911434,0.28650379,0.53547633,0.21404712,0.056104515,0,21
14,Sogn og Fjordane,5.1,2014,108965,0.11978158,0.13783325,0.12117653,0.11023723,0.13506171,0.13273987,0.11764328,0.06956362,0.043949891,0.012013032,40.086044,,,,,1,25
14,Sogn og Fjordane,5.3,2015,109170,0.11807273,0.1360905,0.12272602,0.10946231,0.13364477,0.13261884,0.11913529,0.072950445,0.04300632,0.012292755,40.28878,,,,,1,29
15,Møre og Romsdal,6.3,2008,246772,0.12457248,0.13936751,0.1153656,0.12726727,0.13574068,0.1359514,0.10087854,0.06672556,0.045645375,0.008485566,39.309792,0.24078424,0.53824991,0.19028708,0.038924426,0,1
15,Møre og Romsdal,6.3,2009,248727,0.12349282,0.13813539,0.11739779,0.12461856,0.13641864,0.13537332,0.10538059,0.064982891,0.045214232,0.008985755,39.409401,0.25218931,0.53871292,0.1953091,0.04156455,0,5
15,Møre og Romsdal,6,2010,251262,0.12248569,0.13699645,0.1187406,0.12287971,0.13714768,0.13513783,0.1082814,0.064697407,0.044491407,0.009141852,39.479275,0.2560375,0.53742385,0.19801822,0.041357804,0,9
15,Møre og Romsdal,6.3,2011,253904,0.12104181,0.13537399,0.1211127,0.12158927,0.13759138,0.13424759,0.1112704,0.064272322,0.043721247,0.009779287,39.584091,0.25955817,0.53829265,0.2002383,0.041882109,0,13
15,Møre og Romsdal,5.7,2012,256628,0.12004536,0.13343829,0.12315881,0.12037268,0.13834421,0.13311486,0.11429774,0.064338267,0.042996086,0.009893699,39.68845,0.27780581,0.54407662,0.19881235,0.04250297,0,17
15,Møre og Romsdal,5.8,2013,259404,0.11989021,0.13133568,0.12445452,0.12006368,0.13876039,0.13127786,0.1167561,0.064744569,0.042412609,0.01030439,39.781219,0.28550866,0.54460776,0.19998376,0.04306877,0,21
15,Møre og Romsdal,5.6,2014,261530,0.11914121,0.12989715,0.1249111,0.12056743,0.13859978,0.13010745,0.11812794,0.066638626,0.041654877,0.010354453,39.898434,,,,,1,25
15,Møre og Romsdal,5.8,2015,263719,0.11767828,0.12939151,0.12520523,0.12082557,0.13853382,0.12866347,0.1191268,0.069494426,0.040668286,0.010412598,40.016945,,,,,1,29
16,Sør-Trøndelag,6.2,2008,282993,0.12488294,0.13159336,0.13519415,0.14656547,0.13909885,0.12448364,0.096030645,0.057920162,0.03772885,0.006501928,38.023571,0.32598335,0.53152108,0.19045746,0.050538629,0,1
16,Sør-Trøndelag,6.5,2009,286729,0.12385563,0.13038793,0.13877214,0.14322932,0.14025091,0.12344757,0.099159837,0.057015508,0.037373267,0.006507887,38.052856,0.33906737,0.53149974,0.19491346,0.052565765,0,5
16,Sør-Trøndelag,5.7,2010,290547,0.12354628,0.12876058,0.14150551,0.14069669,0.14090319,0.12301968,0.10122631,0.056761902,0.036878716,0.006701153,38.099567,0.34280422,0.53128284,0.19616961,0.05215558,0,9
